id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,review_score,basement_size,built,renovation,zipcode,latitude,longitude,living_room_size,lot_size
7787980,13/10/2014,221900,3,1,1,0,0,fair,10,0,1955,0,98178,47.5112,-122.257,1340,5650
6774848,12/9/2014,538000,3,2.25,2,0,0,fair,7,400,1951,1991,98125,47.721,-122.319,1690,7639
6999329,25/2/2015,180000,2,1,1,0,0,fair,8,0,1933,0,98028,47.7379,-122.233,2720,8062
7773052,12/9/2014,604000,4,3,1,0,0,excellent,6,910,1965,0,98136,47.5208,-122.393,1360,5000
7760818,18/2/2015,510000,3,2,1,0,0,fair,6,0,1987,0,98074,47.6168,-122.045,1800,7503
7659918,5/12/2014,1225000,4,4.5,1,0,0,fair,8,1530,2001,0,98053,47.6561,-122.005,4760,101930
8057033,27/6/2014,257500,3,2.25,2,0,0,FAIR,7,0,1995,0,98003,47.3097,-122.327,2238,6819
7249853,15/1/2015,291850,3,1.5,1,0,0,fair,7,0,1963,0,98198,47.4095,-122.315,1650,9711
7906980,15/4/2015,229500,3,1,1,0,0,FAIR,7,730,1960,0,98146,47.5123,-122.337,1780,8113
7605289,3/12/2015,323000,3,2.5,2,0,0,fair,7,0,2003,0,98038,47.3684,-122.031,2390,7570
7934973,4/3/2015,662500,3,2.5,1,0,0,fair,7,1700,1965,0,98007,47.6007,-122.145,2210,8925
6867014,27/5/2014,468000,2,1,1,0,0,good,6,300,1942,0,98115,47.69,-122.292,1330,6000
None,28/5/2014,None,3,None,1.5,0,None,good,5,None,1927,0,None,None,None,None,12697
7158525,10/7/2014,400000,3,1.75,1,0,0,good,7,0,1977,0,98074,47.6127,-122.045,1370,10208
7728368,3/12/2015,530000,5,2,1.5,0,0,fair,9,0,1900,0,98107,47.67,-122.394,1360,4850
6927268,24/1/2015,650000,4,3,2,0,3,fair,7,970,1979,0,98126,47.5714,-122.375,2140,4000
6828369,31/7/2014,395000,3,2,2,0,0,fair,7,0,1994,0,98019,47.7277,-121.962,1890,14018
7148719,29/5/2014,485000,4,1,1.5,0,0,good,9,0,1916,0,98103,47.6648,-122.343,1610,4300
7651336,12/5/2014,189000,2,1,1,0,0,good,8,0,1921,0,98002,47.3089,-122.21,1060,5095
7681773,24/4/2015,230000,3,1,1,0,0,good,8,0,1969,0,98003,47.3343,-122.306,1280,8850
7445014,14/5/2014,385000,4,1.75,1,0,0,good,9,760,1947,0,98133,47.7025,-122.341,1400,4980
7648006,26/8/2014,2000000,3,2.75,1,0,4,fair,None,720,1968,0,98040,47.5316,-122.233,4110,20336
7073168,7/3/2014,285000,5,2.5,2,0,0,fair,7,0,1995,0,98092,47.3266,-122.169,2240,7005
6825462,16/5/2014,252700,2,1.5,1,0,0,fair,7,0,1985,0,98030,47.3533,-122.166,1220,8386
6915073,20/11/2014,329000,3,2.25,2,0,0,good,7,0,1985,0,98030,47.3739,-122.172,2200,6865
6897135,11/3/2014,233000,3,2,1.5,0,0,excellent,7,0,1941,0,98002,47.3048,-122.218,1030,4705
7697553,26/6/2014,937000,3,1.75,2,0,0,fair,7,700,1915,0,98119,47.6386,-122.36,1760,3573
6837959,12/1/2014,667000,3,1,1.5,0,0,excellent,6,0,1909,0,98112,47.6221,-122.314,1860,3861
7433036,24/6/2014,438000,3,1.75,1,0,0,fair,6,730,1948,0,98115,47.695,-122.304,1520,6235
7495376,3/2/2015,719000,4,2.5,2,0,0,fair,8,0,2005,0,98052,47.7073,-122.11,2630,6026
6983691,11/10/2014,580500,3,2.5,2,0,0,fair,7,0,2003,0,98027,47.5391,-122.07,2580,3980
7780224,12/1/2014,280000,2,1.5,3,0,0,FAIR,7,0,2005,0,98133,47.7274,-122.357,1390,1756
7704495,24/6/2014,687500,4,1.75,1.5,0,0,good,8,820,1929,0,98117,47.6823,-122.368,1460,5000
6784139,11/10/2014,535000,3,1,1.5,0,0,good,None,0,1929,0,98117,47.6889,-122.375,1570,5080
6742517,12/3/2014,322500,4,2.75,1,0,0,fair,7,780,1981,0,98058,47.4276,-122.157,2020,8720
7731181,13/6/2014,696000,3,2.5,1.5,0,0,fair,6,790,1930,2002,98115,47.6827,-122.31,1590,3264
7621476,28/5/2014,550000,4,1,1,0,0,TERRIBLE,8,730,1933,0,98052,47.6621,-122.132,2160,11467
7941555,30/12/2014,640000,4,2,2,0,0,good,7,0,1904,0,98107,47.6702,-122.362,1730,4700
6877104,13/2/2015,240000,4,1,1,0,0,poor,10,330,1969,0,98001,47.3341,-122.282,1290,7800
7427796,20/6/2014,605000,4,2.5,2,0,0,fair,7,0,1996,0,98056,47.5301,-122.18,2620,11884
6789510,None,625000,None,None,None,0,0,None,7,None,2000,0,98074,47.6145,-122.027,None,None
7952194,8/11/2014,775000,4,2.25,1,0,0,fair,8,1620,1984,0,98166,47.445,-122.347,2410,30617
None,None,861990,5,2.75,2,None,None,None,9,None,2014,0,98053,47.6848,-122.016,3625,None
7353187,28/10/2014,685000,3,1,2,0,0,FAIR,7,0,1922,0,98119,47.6413,-122.364,1580,2640
8008711,29/7/2014,309000,3,1,1,0,0,good,9,360,1959,0,98058,47.4485,-122.175,1340,8808
7965137,18/7/2014,488000,3,2.5,2,0,0,fair,7,0,2003,0,98019,47.7443,-121.977,3050,9232
7301415,25/3/2015,210490,3,1,1,0,0,FAIR,7,0,1966,0,98023,47.3066,-122.371,1228,8840
7888708,None,785000,None,2.5,None,None,0,None,7,0,None,0,None,None,None,None,13685
7196589,28/4/2015,450000,3,1.75,1,0,0,GOOD,7,0,1953,0,98115,47.6796,-122.301,970,5100
7956961,3/11/2015,1350000,3,2.5,1,1,2,excellent,8,588,1953,0,98070,47.4041,-122.451,2680,72513
7365860,16/9/2014,228000,3,1,1,0,0,fair,7,0,1955,0,98148,47.4258,-122.322,1190,9364
7982698,17/2/2015,345000,5,2.5,1,0,0,good,8,1510,1966,0,98056,47.4934,-122.189,1990,9133
7805039,31/12/2014,600000,3,1.75,1,0,0,good,7,410,1950,0,98117,47.6808,-122.384,1410,4080
7367652,2/5/2015,585000,2,1.75,1,0,0,fair,7,990,1981,0,98117,47.6989,-122.369,1480,6738
7596901,3/3/2015,920000,5,2.25,1.5,0,0,fair,8,600,1927,0,98105,47.6571,-122.281,2730,6000
7878970,5/12/2014,885000,4,2.5,2,0,0,fair,10,0,1995,0,98105,47.6597,-122.29,1950,5000
7360951,19/8/2014,292500,4,2.5,2,0,0,fair,7,0,2008,0,98042,47.3663,-122.114,2250,4500
7905513,4/7/2015,301000,3,2.5,2,0,0,fair,10,0,2003,0,98042,47.3663,-122.122,2690,4750
8058619,27/8/2014,951000,5,3.25,2,0,4,good,8,0,1968,0,98008,47.588,-122.116,2960,11044
7979272,23/2/2015,430000,4,3,2,0,0,fair,9,0,1991,0,98059,47.5059,-122.149,2270,8542
7428162,12/10/2014,650000,3,2.25,1,0,3,good,7,560,1959,0,98166,47.4336,-122.339,2570,18900
6938615,28/8/2014,289000,3,1.75,1,0,0,FAIR,7,0,1954,0,98148,47.4366,-122.335,1290,8750
None,21/10/2014,505000,None,1.75,None,0,0,None,7,None,None,0,None,47.4428,None,None,9500
